CRN,Term,GERs,G,D,W,S,Q,LangA,LangM,Lab,FA,Hum,SS,Div
5625,1 (Fall 2023),"G,D,SS",G,D,,,,,,,,,SS,SS
5633,1 (Fall 2023),"G,SS",G,,,,,,,,,,SS,SS
5043,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5044,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5630,1 (Fall 2023),"W,SS",,,W,,,,,,,,SS,SS
5634,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5693,1 (Fall 2023),"D,SS",,D,,,,,,,,,SS,SS
5626,1 (Fall 2023),"D,SS",,D,,,,,,,,,SS,SS
5628,1 (Fall 2023),"D,SS",,D,,,,,,,,,SS,SS
5631,1 (Fall 2023),"G,D,SS",G,D,,,,,,,,,SS,SS
5620,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5045,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5046,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5047,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5048,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5692,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5049,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5050,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5051,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5052,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5053,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5054,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5055,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5056,1 (Fall 2023),SS,,,,,,,,,,,SS,SS
5718,1 (Fall 2024),"G,D,SS",G,D,,,,,,,,,SS,SS
5719,1 (Fall 2024),"G,SS",G,,,,,,,,,,SS,SS
5043,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5044,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5720,1 (Fall 2024),"W,SS",,,W,,,,,,,,SS,SS
5721,1 (Fall 2024),"D,SS",,D,,,,,,,,,SS,SS
5841,1 (Fall 2024),"D,SS",,D,,,,,,,,,SS,SS
5722,1 (Fall 2024),"D,SS",,D,,,,,,,,,SS,SS
5700,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5679,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5045,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5046,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5047,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5048,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5724,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5725,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5049,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5050,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5051,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5052,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5053,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5054,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5055,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
5056,1 (Fall 2024),SS,,,,,,,,,,,SS,SS
1621,2 (Winter 2024),"G,D,SS",G,D,,,,,,,,,SS,SS
1041,2 (Winter 2024),SS,,,,,,,,,,,SS,SS
1042,2 (Winter 2024),SS,,,,,,,,,,,SS,SS
1626,2 (Winter 2024),"Q,SS",,,,,Q,,,,,,SS,SS
1696,2 (Winter 2024),"D,SS",,D,,,,,,,,,SS,SS
1627,2 (Winter 2024),"G,SS",G,,,,,,,,,,SS,SS
1624,2 (Winter 2024),SS,,,,,,,,,,,SS,SS
1043,2 (Winter 2024),SS,,,,,,,,,,,SS,SS
1044,2 (Winter 2024),SS,,,,,,,,,,,SS,SS
1045,2 (Winter 2024),SS,,,,,,,,,,,SS,SS
1046,2 (Winter 2024),SS,,,,,,,,,,,SS,SS
1622,2 (Winter 2024),"G,SS",G,,,,,,,,,,SS,SS
1625,2 (Winter 2024),"D,SS",,D,,,,,,,,,SS,SS
1047,2 (Winter 2024),SS,,,,,,,,,,,SS,SS
1048,2 (Winter 2024),SS,,,,,,,,,,,SS,SS
1049,2 (Winter 2024),SS,,,,,,,,,,,SS,SS
1050,2 (Winter 2024),SS,,,,,,,,,,,SS,SS
1051,2 (Winter 2024),SS,,,,,,,,,,,SS,SS
1052,2 (Winter 2024),SS,,,,,,,,,,,SS,SS
1053,2 (Winter 2024),SS,,,,,,,,,,,SS,SS
1054,2 (Winter 2024),SS,,,,,,,,,,,SS,SS
1672,2 (Winter 2025),"G,D,SS",G,D,,,,,,,,,SS,SS
2086,2 (Winter 2025),"G,D,SS",G,D,,,,,,,,,SS,SS
1961,2 (Winter 2025),SS,,,,,,,,,,,SS,SS
1007,2 (Winter 2025),SS,,,,,,,,,,,SS,SS
1008,2 (Winter 2025),SS,,,,,,,,,,,SS,SS
1850,2 (Winter 2025),"Q,SS",,,,,Q,,,,,,SS,SS
1673,2 (Winter 2025),"D,SS",,D,,,,,,,,,SS,SS
1700,2 (Winter 2025),"D,SS",,D,,,,,,,,,SS,SS
1674,2 (Winter 2025),SS,,,,,,,,,,,SS,SS
1009,2 (Winter 2025),SS,,,,,,,,,,,SS,SS
1010,2 (Winter 2025),SS,,,,,,,,,,,SS,SS
1011,2 (Winter 2025),SS,,,,,,,,,,,SS,SS
1012,2 (Winter 2025),SS,,,,,,,,,,,SS,SS
1676,2 (Winter 2025),SS,,,,,,,,,,,SS,SS
1677,2 (Winter 2025),"D,SS",,D,,,,,,,,,SS,SS
1013,2 (Winter 2025),SS,,,,,,,,,,,SS,SS
1014,2 (Winter 2025),SS,,,,,,,,,,,SS,SS
1015,2 (Winter 2025),SS,,,,,,,,,,,SS,SS
1016,2 (Winter 2025),SS,,,,,,,,,,,SS,SS
1017,2 (Winter 2025),SS,,,,,,,,,,,SS,SS
1018,2 (Winter 2025),SS,,,,,,,,,,,SS,SS
1019,2 (Winter 2025),SS,,,,,,,,,,,SS,SS
1020,2 (Winter 2025),SS,,,,,,,,,,,SS,SS
3633,3 (Spring 2024),"G,D,SS",G,D,,,,,,,,,SS,SS
3631,3 (Spring 2024),SS,,,,,,,,,,,SS,SS
3632,3 (Spring 2024),SS,,,,,,,,,,,SS,SS
3017,3 (Spring 2024),SS,,,,,,,,,,,SS,SS
3018,3 (Spring 2024),SS,,,,,,,,,,,SS,SS
3625,3 (Spring 2024),SS,,,,,,,,,,,SS,SS
3634,3 (Spring 2024),SS,,,,,,,,,,,SS,SS
3615,3 (Spring 2024),SS,,,,,,,,,,,SS,SS
3019,3 (Spring 2024),SS,,,,,,,,,,,SS,SS
3020,3 (Spring 2024),SS,,,,,,,,,,,SS,SS
3021,3 (Spring 2024),SS,,,,,,,,,,,SS,SS
3022,3 (Spring 2024),SS,,,,,,,,,,,SS,SS
3999,3 (Spring 2024),SS,,,,,,,,,,,SS,SS
3640,3 (Spring 2024),"G,SS",G,,,,,,,,,,SS,SS
3664,3 (Spring 2024),SS,,,,,,,,,,,SS,SS
3023,3 (Spring 2024),SS,,,,,,,,,,,SS,SS
3024,3 (Spring 2024),SS,,,,,,,,,,,SS,SS
3025,3 (Spring 2024),SS,,,,,,,,,,,SS,SS
3026,3 (Spring 2024),SS,,,,,,,,,,,SS,SS
3027,3 (Spring 2024),SS,,,,,,,,,,,SS,SS
3028,3 (Spring 2024),SS,,,,,,,,,,,SS,SS
3029,3 (Spring 2024),SS,,,,,,,,,,,SS,SS
3030,3 (Spring 2024),SS,,,,,,,,,,,SS,SS
3680,3 (Spring 2025),"G,D,SS",G,D,,,,,,,,,SS,SS
3945,3 (Spring 2025),SS,,,,,,,,,,,SS,SS
3009,3 (Spring 2025),SS,,,,,,,,,,,SS,SS
3010,3 (Spring 2025),SS,,,,,,,,,,,SS,SS
3681,3 (Spring 2025),SS,,,,,,,,,,,SS,SS
3842,3 (Spring 2025),SS,,,,,,,,,,,SS,SS
3711,3 (Spring 2025),SS,,,,,,,,,,,SS,SS
3712,3 (Spring 2025),SS,,,,,,,,,,,SS,SS
3683,3 (Spring 2025),SS,,,,,,,,,,,SS,SS
3649,3 (Spring 2025),SS,,,,,,,,,,,SS,SS
3682,3 (Spring 2025),SS,,,,,,,,,,,SS,SS
3011,3 (Spring 2025),SS,,,,,,,,,,,SS,SS
3012,3 (Spring 2025),SS,,,,,,,,,,,SS,SS
3013,3 (Spring 2025),SS,,,,,,,,,,,SS,SS
3014,3 (Spring 2025),SS,,,,,,,,,,,SS,SS
3736,3 (Spring 2025),"G,SS",G,,,,,,,,,,SS,SS
3684,3 (Spring 2025),SS,,,,,,,,,,,SS,SS
3841,3 (Spring 2025),SS,,,,,,,,,,,SS,SS
3850,3 (Spring 2025),SS,,,,,,,,,,,SS,SS
3015,3 (Spring 2025),SS,,,,,,,,,,,SS,SS
3016,3 (Spring 2025),SS,,,,,,,,,,,SS,SS
3017,3 (Spring 2025),SS,,,,,,,,,,,SS,SS
3018,3 (Spring 2025),SS,,,,,,,,,,,SS,SS
3019,3 (Spring 2025),SS,,,,,,,,,,,SS,SS
3020,3 (Spring 2025),SS,,,,,,,,,,,SS,SS
3021,3 (Spring 2025),SS,,,,,,,,,,,SS,SS
3022,3 (Spring 2025),SS,,,,,,,,,,,SS,SS
5714,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5057,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5058,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5715,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5997,1 (Fall 2023),"S,FA",,,,S,,,,,FA,,,FA
5844,1 (Fall 2023),"W,FA",,,W,,,,,,FA,,,FA
5804,1 (Fall 2023),FAHum,,,,,,,,,FA,Hum,,FA
5806,1 (Fall 2023),"G,D,S,FA",G,D,,S,,,,,FA,,,FA
5059,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5060,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5061,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5062,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5802,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5063,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5064,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5065,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5066,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5067,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5068,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5069,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5070,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5737,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5057,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5058,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5738,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5959,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5739,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5684,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5957,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5059,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5060,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5061,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5062,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5956,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5063,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5064,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5065,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5066,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5067,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5068,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5069,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5070,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
1727,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1055,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1056,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
2067,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1704,2 (Winter 2024),"G,S,FA",G,,,S,,,,,FA,,,FA
1724,2 (Winter 2024),"G,FA",G,,,,,,,,FA,,,FA
1720,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1723,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1057,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1058,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1059,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1060,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1061,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1062,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1063,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1064,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1722,2 (Winter 2024),"W,FA",,,W,,,,,,FA,,,FA
1065,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1066,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1067,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1068,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1945,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1942,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1021,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1022,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1944,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1652,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1947,2 (Winter 2025),"D,FA",,D,,,,,,,FA,,,FA
1023,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1024,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1025,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1026,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1027,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1028,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1029,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1030,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1946,2 (Winter 2025),"W,FA",,,W,,,,,,FA,,,FA
1031,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1032,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1033,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1034,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
3750,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3748,3 (Spring 2024),"G,FA",G,,,,,,,,FA,,,FA
3031,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3032,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3746,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3747,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
4095,3 (Spring 2024),"G,W,FA",G,,W,,,,,,FA,,,FA
4092,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3033,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3034,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3035,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3036,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3037,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3038,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3039,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3040,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3041,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3042,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3043,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3044,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3941,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3023,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3024,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
4095,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3940,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3944,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3025,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3026,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3027,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3028,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3942,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3029,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3030,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3031,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3032,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3033,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3034,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3035,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3036,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
5818,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5819,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5820,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5071,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5072,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5815,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5813,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5814,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5811,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5809,1 (Fall 2023),"S,FA",,,,S,,,,,FA,,,FA
5817,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
6075,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5073,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5074,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5075,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5076,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5077,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5078,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5079,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5080,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5816,1 (Fall 2023),"S,FA",,,,S,,,,,FA,,,FA
5081,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5082,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5083,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5084,1 (Fall 2023),FA,,,,,,,,,FA,,,FA
5807,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5801,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5071,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5072,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5800,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5805,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5804,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5806,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5803,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5933,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5931,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5073,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5074,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5075,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5076,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5077,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5078,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5079,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5080,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5802,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5081,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5082,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5083,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
5084,1 (Fall 2024),FA,,,,,,,,,FA,,,FA
1839,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1834,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1069,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1070,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1831,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1829,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1840,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1827,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
2083,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1832,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1837,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1071,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1072,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1073,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1074,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1828,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1825,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1833,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1838,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1075,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1076,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1077,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1078,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1826,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1079,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1080,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1081,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1082,2 (Winter 2024),FA,,,,,,,,,FA,,,FA
1970,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1951,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1035,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1036,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1768,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1915,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1954,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1949,2 (Winter 2025),"S,FA",,,,S,,,,,FA,,,FA
1766,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1956,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1972,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1952,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1037,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1038,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1039,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1040,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1767,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1958,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1957,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1973,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1953,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1041,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1042,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1043,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1044,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1959,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1045,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1046,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1047,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
1048,2 (Winter 2025),FA,,,,,,,,,FA,,,FA
3853,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3848,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3045,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3046,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
4010,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3854,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3849,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3844,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3840,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3851,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
4100,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3047,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3048,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3049,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3050,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3895,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3850,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3846,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3842,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3852,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3051,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3052,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3053,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3054,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3055,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3056,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3057,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3058,3 (Spring 2024),FA,,,,,,,,,FA,,,FA
3963,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
4096,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3954,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3037,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3038,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3964,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3955,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3918,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3961,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3957,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3950,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3039,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3040,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3041,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3042,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3956,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3962,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3959,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3952,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3752,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3043,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3044,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3045,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3046,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3047,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3048,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3049,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
3050,3 (Spring 2025),FA,,,,,,,,,FA,,,FA
5740,1 (Fall 2024),W,,,W,,,,,,,,,NS
5833,1 (Fall 2023),,,,,,,,,,,,,ND
