GEOID10_Tract,Tract Pop,geo_pr_white,geo_pr_black,geo_pr_aian,geo_pr_api,geo_pr_mult,geo_pr_hispanic,here,here_given_white,here_given_black,here_given_aian,here_given_api,here_given_mult,here_given_hispanic
55117000800,3747,0.716534139,0.020823272,0.007741986,0.087297565,0.007208056,0.160394983,0.000861876,0.000714774,0.000331992,0.000841247,0.003669191,0.000823585,0.003007677
55117000900,4011,0.828721017,0.021441037,0.004487659,0.057840937,0.007230117,0.080279232,0.0009226,0.000884931,0.000365926,0.000521987,0.002602391,0.00088431,0.001611434
55117001000,5690,0.849894588,0.009140542,0.002109356,0.078221942,0.00474605,0.055887522,0.0013088,0.001287436,0.000221299,0.000348056,0.004992584,0.000823477,0.001591416
55117001100,2798,0.884917798,0.008934954,0.00393138,0.042172981,0.007147963,0.052894925,0.000643589,0.000659172,0.000106374,0.000318992,0.00132363,0.000609869,0.000740659
55117010100,1189,0.955424727,0.000841043,0,0.019343987,0.001682086,0.022708158,0.000273491,0.000302431,4.25496E-06,0,0.000257996,6.09869E-05,0.00013512
55117010200,3572,0.950977775,0.018492791,0.001120775,0.010927558,0.004763295,0.013717805,0.000821623,0.000904337,0.000281066,0.000116096,0.000437844,0.000518831,0.000245218
55117010300,2535,0.982642998,0.000788955,0.003944773,0.00433925,0.001972387,0.006311637,0.000583095,0.000663166,8.50991E-06,0.000289993,0.000123389,0.000152467,8.00713E-05
55117010400,1976,0.978238866,0,0.005060729,0.004048583,0.002024291,0.01062753,0.000454515,0.000514612,0,0.000289993,8.97376E-05,0.000121974,0.000105094
55117010501,5926,0.970972536,0.002362874,0.003037981,0.006075962,0.005063302,0.012487344,0.001363084,0.001531852,5.95796E-05,0.000522077,0.000403888,0.00091496,0.00037033
55117010502,2760,0.968115942,0.001449275,0.002898551,0.005072464,0.002536232,0.019927536,0.000634848,0.000711352,1.70198E-05,0.000231994,0.000157041,0.000213454,0.000275245
55117010601,4329,0.970893971,0.003696004,0.003003003,0.003927004,0.004158004,0.014322014,0.000995746,0.001118942,6.80793E-05,0.000376991,0.000190692,0.000548882,0.000310276
55117010602,3010,0.953117621,0.00399351,0.001996755,0.014310076,0.002329547,0.024252492,0.000692353,0.000763768,5.11465E-05,0.000174293,0.000483162,0.000213818,0.000365325
55117010700,6035,0.945816073,0.001988401,0.0006628,0.030157415,0.003479702,0.017895609,0.001388156,0.001519611,5.10595E-05,0.000115997,0.002041531,0.000640363,0.000540481
55117010800,2715,0.946582554,0.001842317,0.002947707,0.020633952,0.002210781,0.025782689,0.000624498,0.00068419,2.12828E-05,0.000232082,0.000628401,0.00018303,0.000350312
55117010900,2384,0.967688794,0.000839643,0.002099108,0.00797661,0.003778394,0.01761745,0.000548362,0.000614172,8.51718E-06,0.00014512,0.000213309,0.000274676,0.000210187
55117011000,2134,0.969065241,0.002812962,0.001875308,0.005157096,0.004688269,0.016401125,0.000490857,0.000550549,2.55419E-05,0.000116052,0.000123448,0.00030508,0.000175156
55117011100,3545,0.832912095,0.14366393,0.011572144,0.003951464,0.003386969,0.004513399,0.000815412,0.000786075,0.002167,0.001189646,0.00015713,0.000366129,8.00713E-05
55117011200,2772,0.958488228,0.003252788,0.002168525,0.005421314,0.002891367,0.027777778,0.000637609,0.00070734,3.83658E-05,0.000174319,0.000168571,0.000244401,0.000385343
55117011300,5240,0.969274809,0.002671756,0.001908397,0.005152672,0.003625954,0.017366412,0.001205292,0.001352155,5.95694E-05,0.000289993,0.000302864,0.000579376,0.000455405
55117011400,1929,0.882253023,0.025429646,0.006227668,0.021277867,0.010379447,0.054432348,0.000443704,0.000453079,0.000208722,0.000348374,0.00046041,0.000610539,0.000525468
55117990000,0,,,,,,,0,0,0,0,0,0,0
55119960100,3282,0.967397928,0.000304692,0.003046923,0.00274223,0.002132846,0.024375381,0.000754918,0.000845263,4.25496E-06,0.000289993,0.000100955,0.000213454,0.000400356
55119960200,1780,0.987078652,0,0.001685393,0.001685393,0.002247191,0.007303371,0.000409431,0.000467757,0,8.69979E-05,3.36516E-05,0.000121974,6.50579E-05
55119960300,2257,0.983606557,0.002658396,0.002658396,0.000886132,0.001772264,0.008418254,0.00051915,0.000591019,2.55297E-05,0.000173996,2.24344E-05,0.000121974,9.50846E-05
55119960400,3681,0.978810106,0.003259984,0.003531649,0.004346645,0.003803314,0.006248302,0.000846695,0.000959208,5.10595E-05,0.000376991,0.000179475,0.000426908,0.000115102
55119960500,2137,0.983153954,0.002339729,0.002339729,0.003743566,0.004679457,0.003743566,0.000491548,0.000559338,2.12748E-05,0.000144997,8.97376E-05,0.000304935,4.00356E-05
55119960600,2463,0.98091758,0.000406009,0.000812018,0.002436054,0.002436054,0.012992286,0.000566533,0.000643199,4.25496E-06,5.79986E-05,6.73032E-05,0.000182961,0.000160143
55121100100,2431,0.979843686,0.000822707,0.005347594,0.003290827,0.00123406,0.009461127,0.000559173,0.000634147,8.50991E-06,0.000376991,8.97376E-05,9.14804E-05,0.000115102
55121100200,2496,0.963141026,0.002003205,0.001602564,0.002804487,0.002003205,0.028445513,0.000574124,0.000640004,2.12748E-05,0.000115997,7.85204E-05,0.000152467,0.000355316
55121100300,1885,0.924668435,0.000530504,0.001061008,0.002122016,0.002122016,0.069496021,0.000433583,0.00046403,4.25496E-06,5.79986E-05,4.48688E-05,0.000121974,0.000655583
55121100400,2936,0.971049046,0.002384196,0.001702997,0.00613079,0.003065395,0.015667575,0.000675332,0.000759007,2.97847E-05,0.000144997,0.00020191,0.000274441,0.000230205
55121100500,2325,0.973763441,0.002150538,0.000860215,0.002150538,0.002150538,0.018924731,0.000534791,0.000602733,2.12748E-05,5.79986E-05,5.6086E-05,0.000152467,0.000220196
55121100600,2985,0.779223675,0.00435695,0.0006703,0.006702999,0.0020109,0.207035176,0.000686602,0.000619234,5.53378E-05,5.80231E-05,0.000224439,0.000183038,0.003092753
55121100700,3909,0.984394986,0.00051164,0.002046559,0.003837299,0.001534919,0.007674597,0.000899139,0.001024433,8.50991E-06,0.000231994,0.000168258,0.000182961,0.000150134
55121100800,2864,0.980796089,0.000349162,0.001047486,0.00523743,0.003840782,0.00872905,0.00065877,0.000747825,4.25496E-06,8.69979E-05,0.000168258,0.000335428,0.000125111
55123960100,2924,0.98119015,0.004445964,0.000341997,0.001367989,0.004445964,0.008207934,0.000672571,0.000763799,5.53144E-05,2.89993E-05,4.48688E-05,0.000396415,0.000120107
55123960200,2831,0.965383257,0.001059696,0.004592017,0.003885553,0.003179089,0.021900389,0.00065118,0.000727592,1.27649E-05,0.000376991,0.000123389,0.000274441,0.000310276
55123960300,3197,0.983732382,0.00156446,0.001251568,0.002190244,0.002503136,0.008758211,0.000735366,0.000837275,2.12815E-05,0.000116034,7.85452E-05,0.000244025,0.000140125
55123960400,3848,0.97659078,0.004163457,0.001821512,0.005464537,0.004163457,0.007796258,0.000885108,0.001000451,6.81686E-05,0.000203261,0.00023587,0.000488535,0.000150134
